lr,conv_filters,dropout,val_accuracy,val_auc,test_accuracy,test_auc
5e-05,"[16, 32, 64, 128]",0.2,0.711337149143219,0.820372998714447,0.5800043940544128,0.6576846241950989
0.0001,"[16, 32, 64, 128]",0.2,0.7660597562789917,0.9385297894477844,0.6931692957878113,0.7105133533477783
0.0002,"[16, 32, 64, 128]",0.2,0.8176813721656799,0.9347113370895386,0.5795630216598511,0.6694126725196838
0.0001,"[16, 32, 64, 128]",0.25,0.8548790812492371,0.9336591362953186,0.5760318040847778,0.6617503762245178
0.0001,"[16, 32, 64, 128]",0.3,0.5761451125144958,0.8444219827651978,0.6205031871795654,0.6336931586265564
5e-05,"[32, 64, 128, 256]",0.25,0.8421621918678284,0.9420981407165527,0.6404767036437988,0.6572566032409668
0.0001,"[32, 64, 128, 256]",0.25,0.7641535997390747,0.9456918835639954,0.624917209148407,0.7242504954338074
0.0002,"[32, 64, 128, 256]",0.25,0.5207823514938354,0.8494850397109985,0.62088942527771,0.641014814376831
0.0001,"[32, 64, 128, 256]",0.3,0.7638975977897644,0.7833859324455261,0.532001793384552,0.6937364935874939
0.0001,"[32, 64, 128, 256]",0.35,0.8089473843574524,0.9051505327224731,0.6625468730926514,0.6170818209648132
0.0001,"[32, 64, 64, 128]",0.25,0.4442816376686096,0.7552334070205688,0.6586294174194336,0.7270383834838867
0.0001,"[32, 64, 64, 128]",0.3,0.7164438366889954,0.9109963774681091,0.6770580410957336,0.6450888514518738
0.0001,"[32, 64, 96, 128]",0.3,0.6313371062278748,0.8679454922676086,0.550320029258728,0.6121880412101746
0.0001,"[64, 128, 256, 512]",0.35,0.7665149569511414,0.9153971076011658,0.5396159887313843,0.7208093404769897
5e-05,"[64, 128, 256, 512]",0.4,0.7333001494407654,0.6842418909072876,0.6921209692955017,0.8112685680389404
0.0001,"[32, 64, 128, 256]",0.4,0.7193171977996826,0.9625656008720398,0.6004745364189148,0.596928060054779
5e-05,"[32, 64, 128, 256]",0.4,0.5778236389160156,0.8487749695777893,0.405208557844162,0.6129899024963379
0.0001,"[16, 32, 64, 64]",0.2,0.8361877799034119,0.8758772611618042,0.5760318040847778,0.7288618087768555
0.0001,"[16, 32, 64, 64]",0.25,0.8536415100097656,0.9284961223602295,0.6642573475837708,0.7480213642120361
0.0001,"[16, 32, 64, 64]",0.3,0.8569843769073486,0.9488048553466797,0.5836459994316101,0.6880111694335938
