lr,conv_filters,dropout,val_accuracy,val_auc,test_accuracy,test_auc
0.0001,"[16, 32, 64, 128]",0.2,0.7732005715370178,0.806095540523529,0.6749061942100525,0.5121421217918396
0.0005,"[16, 32, 64, 128]",0.2,0.715817928314209,0.9101364016532898,0.4075811207294464,0.6193898916244507
0.0001,"[32, 64, 128, 256]",0.3,0.8698292970657349,0.9527650475502014,0.6262414455413818,0.6724371910095215
0.0005,"[32, 64, 128, 256]",0.3,0.8508961796760559,0.9090313911437988,0.7023283839225769,0.7206426858901978
0.001,"[32, 64, 128, 256]",0.3,0.9294167757034302,0.9768674373626709,0.6199514269828796,0.6867373585700989
0.0005,"[32, 64, 128, 256]",0.4,0.9340825080871582,0.9805782437324524,0.593136191368103,0.6911593675613403
0.001,"[32, 64, 128, 256]",0.4,0.7830867767333984,0.8642664551734924,0.6149304509162903,0.687221348285675
0.0005,"[48, 96, 192, 384]",0.3,0.8650213479995728,0.9615504145622253,0.5292981863021851,0.6540237665176392
0.001,"[48, 96, 192, 384]",0.3,0.7136557698249817,0.7562680244445801,0.692176103591919,0.6723738312721252
0.0005,"[48, 96, 192, 384]",0.4,0.7613797783851624,0.7661193013191223,0.6196203827857971,0.4806532859802246
0.001,"[48, 96, 192, 384]",0.4,0.878406822681427,0.9506888389587402,0.6034539937973022,0.6214202046394348
0.0001,"[64, 128, 256, 512]",0.4,0.8298435211181641,0.9582915902137756,0.5078901052474976,0.6080449223518372
0.0005,"[64, 128, 256, 512]",0.4,0.8146372437477112,0.9641324281692505,0.5195872783660889,0.6045265793800354
0.001,"[64, 128, 256, 512]",0.4,0.6989189386367798,0.6048814058303833,0.6169719696044922,0.24838094413280487
0.0005,"[64, 128, 256, 512]",0.5,0.9289331436157227,0.9740731120109558,0.6137166023254395,0.6641220450401306
0.001,"[64, 128, 256, 512]",0.5,0.7704267501831055,0.8172979950904846,0.697031557559967,0.6876301765441895
0.0005,"[96, 192, 384, 768]",0.4,0.8512517809867859,0.8950530886650085,0.5552306175231934,0.5406355261802673
0.001,"[96, 192, 384, 768]",0.4,0.7155476808547974,0.6594240069389343,0.6897484064102173,0.5093376636505127
0.0005,"[96, 192, 384, 768]",0.5,0.813627302646637,0.9669333100318909,0.5269808173179626,0.6823541522026062
0.001,"[96, 192, 384, 768]",0.5,0.6831579208374023,0.7628243565559387,0.674630343914032,0.4682748019695282
0.0001,"[32, 64, 64, 128]",0.3,0.8658890724182129,0.9406086206436157,0.6015228629112244,0.6793891787528992
0.0001,"[32, 64, 128, 256]",0.5,0.8775675892829895,0.9355238080024719,0.5643345713615417,0.6377713084220886
